topic,n_reflections,dominant_cluster,n_clusters_present,dominant_pct
"After studying with Dr. Steven and group C3, I was able to learned a new skillset called communication. Communication helps me to achieved multiple goals from inside and outside study. I learned that communication is one of the most important skill that apply in most of industry including Engineer. This skill helped me to participate in group work, which we able to finish the RGM machine. ",1.0,-1.0,1.0,100.0
"After the progression of the semester, I have developed new skills in conceiving and managing systems engineering skills that have enabled our team to develop unique DISCIPLINARY DESIGNS in a multi-disciplinary project.",1.0,-1.0,1.0,100.0
Allocation of Team/Group Meetings - Accountability in a team operation,1.0,-1.0,1.0,100.0
As I take some time here to reflect on the skills/employability skills that I have been using and developing during my study of engg1050 as a 1st year student. I want to highlight the interpersonal skills of visual communication strategies.,1.0,-1.0,1.0,100.0
"As a first year student, the transferable skill I will be reflecting on is 'Forming effective teams'.",1.0,19.0,1.0,100.0
"As mentioned in my first reflection, my primary goal in this unit was to learn how to work well within a group setting rather than as an individual. This meant that I have focused on my growth in patience and professional behaviour with others, even within uncertain or frustrating scenarios.

What I didn’t mention in my first reflection was that a large part of professional behaviour is being able to interact with other people that I know less about. This means being involved within the wider scope of the whole unit group, and not simply within our own team.",1.0,5.0,1.0,100.0
"Attitudes, Thought and Learning ",1.0,-1.0,1.0,100.0
"Attitudes, thought and learning",55.0,5.0,11.0,23.6
BRAINSTORMING AND DESIGNING AN EFFECTIVE METHOD OF TRANSPORTING GOODS WITHIN THE WORKPLACE.,1.0,-1.0,1.0,100.0
"Being a first year student, I believe an appropriate transferable skill to reflect on is 'Time and Resource management'.",1.0,3.0,1.0,100.0
Brainstorm a 12 part RGM process,1.0,15.0,1.0,100.0
Brainstorm a 12 part RGM process.,1.0,15.0,1.0,100.0
Brainstorm an end goal/creative process,1.0,15.0,1.0,100.0
Brainstorming and finding innovative solutions to issues.,1.0,15.0,1.0,100.0
Brainstorming as a team.,1.0,17.0,1.0,100.0
Brainstorming design ideas/creative process,1.0,15.0,1.0,100.0
Brainstorming new creative solution concepts for complex problems ,1.0,15.0,1.0,100.0
Brainstorming the conceptual design for our rube goldberg machine.,1.0,15.0,1.0,100.0
Brainstorming/group cooperation ,1.0,15.0,1.0,100.0
CREATIVE THINKING AND PROBLEM-SOLVING.,1.0,18.0,1.0,100.0
Collaborate with team members remotely on the same project,1.0,18.0,1.0,100.0
Communcation is key within the team you are assigned too.,1.0,19.0,1.0,100.0
Communication Structure,3.0,19.0,2.0,66.7
Communication and public speaking is a skill that I will be reflecting over as will allow me to conduct myself to my employees in a confident and professional manner,1.0,5.0,1.0,100.0
Communications,16.0,6.0,4.0,43.8
Communications strategy,17.0,5.0,8.0,23.5
Communications structure,25.0,-1.0,4.0,52.0
Communications structure ,1.0,-1.0,1.0,100.0
"Conceiving, systems engineering and management",9.0,-1.0,6.0,33.3
Contemporary issues and values,1.0,15.0,1.0,100.0
Creating new solution concepts,23.0,4.0,7.0,39.1
Creative and Critical Thinking,1.0,17.0,1.0,100.0
Creative idea generation and imagination.,1.0,15.0,1.0,100.0
Creative thinking,50.0,6.0,9.0,32.0
"Creative thinking; as I've struggled with forming ideas, designs and approach to many subjects.",1.0,17.0,1.0,100.0
Critical thinking,117.0,4.0,17.0,35.0
Critical thinking and analysis of possible faults in our RGM designs.,1.0,-1.0,1.0,100.0
Customer needs and market research,13.0,5.0,3.0,61.5
Data driven decision making,6.0,16.0,2.0,83.3
Data-driven decision making,1.0,16.0,1.0,100.0
Dealing with different personalities and communication styles within a team.,1.0,19.0,1.0,100.0
"Defining function, concept and architecture",1.0,6.0,1.0,100.0
Defining the solution,24.0,4.0,7.0,62.5
Designing a sustainable implementation process,1.0,6.0,1.0,100.0
"Designing, prototyping and testing of components.",1.0,-1.0,1.0,100.0
Developing a global perspective,3.0,5.0,2.0,66.7
"Documentation -  (Test, verification, validation, and certification)",1.0,-1.0,1.0,100.0
"ENGG1050 has allowed my team to improve our oral presentation skills through the weekly presentations in preparation for both the final Rube Goldberg Machine presentation and when we need to demonstrate our employability for a future job. Through modifying ideas seen from other groups and adapting to the feedback received, we have been able to create the best presentations possible. We saw how important communicating through oral presentations is as it is the way people share ideas with others and influence their decisions. Our goal was to achieve 100% in our weekly presentation marks and, later on, score highly in our final presentation.",1.0,5.0,1.0,100.0
Effectiveness of Oral Presentations within remote learning - Oral Presentation,1.0,5.0,1.0,100.0
Empathy as a leader,12.0,-1.0,5.0,33.3
Enterprise and business context,1.0,6.0,1.0,100.0
Equity and diversity,13.0,-1.0,1.0,100.0
Equity and diversity and Inclusion,1.0,-1.0,1.0,100.0
Equity and diversity in leadership and managment,3.0,9.0,3.0,33.3
Establishing diverse connections and networking,3.0,6.0,1.0,100.0
"Ethics, integrity and social responsibility",5.0,8.0,5.0,20.0
"Ethics, integrity, and social responsibility",22.0,-1.0,10.0,22.7
Experimental inquiry,9.0,4.0,5.0,55.6
FORMING EFFECTIVE TEAMS,1.0,-1.0,1.0,100.0
Forming Effective Team,1.0,-1.0,1.0,100.0
Forming Effective Teams,2.0,19.0,2.0,50.0
"Forming Effective teams

Communication Structure",1.0,-1.0,1.0,100.0
Forming an effective team,2.0,-1.0,1.0,100.0
"Forming an effective team
Thinking creatively

Identifying an issue, problem or paradox and acting on it",1.0,-1.0,1.0,100.0
Forming effective teams,6.0,-1.0,2.0,66.7
"Forming effective teams to catch up on work, leading to a recovery of time.",1.0,11.0,1.0,100.0
"From week 3 to week 5, the Rube Goldberg Machine (RMG) Project are mostly in concept and design stage. Communication and sharing idea are the necessary actions in the stage. Our teammate came from several respective like electrical engineering, mechanical engineering and cyber security. There is different kind of idea were coming up during the brainstorm. Brainstorm a design mechanism is the transferable skills/employability skill topic I will be reflecting over.",1.0,17.0,1.0,100.0
"Generate ideas to complete a task. 

Think with logic to execute a task.

Use bookish knowledge through experiencing.

Complete a task with teammates in a cooperative way.

Gain experience in a teamwork.",1.0,15.0,1.0,100.0
Giving Oral Presentations and public speaking ,1.0,5.0,1.0,100.0
Global market trends and economic forces,1.0,5.0,1.0,100.0
Holding and Documenting Meetings/Professional Behaviour,1.0,-1.0,1.0,100.0
Hypothesis test and defence,2.0,-1.0,1.0,100.0
"I developed two great skills in this unit which are presenting and socialising it has been great. I saw a need for improving my presentation and socialising skill and this unit has absolutely helped with it. I attended every lecture that Simon posted and it made it easier for me to make improvements. all the other students helped me with it, they helped me with making my goal clear for the presentation. I assessed our machine but still had some doubts about it and this made it even harder, but all my team members cleared up the doubts and made it easier.",1.0,15.0,1.0,100.0
I took on a leadership role within the group and led a team building exercise where each member said one strength and weakness. I felt this was a good way for the team to get to know one another and become more comfortable speaking within the group.,1.0,-1.0,1.0,100.0
"I will base my second reflection on the INITIATIVE AND THE WILLINGNESS TO MAKE DECISIONS IN THE FACE OF UNCERTAINTY; from two different approaches: as a group and as an individual.

When it comes to teamwork, my biggest challenge is not being able to be in control of every task. Logically, this brings along uncertainty: how, when, and how much will the rest work?

However, contribution and initiative are also expected from me as a part of a group.
 ",1.0,20.0,1.0,100.0
"I will be reflecting on my ability to combine self agency with a cooperative group focused mindset. Through the semester we have been work in groups to complete a major project and a number of group presentations which has forced me to improve my ability to work in a group. At the beginning of this semester I hadn't had to work in a group for such a large amount of time and with this much work with people I've never met before. What I've learned is that when the group firsts form the number one goal should be to do break ice as soon as possible, a team can't work effectively together if everyone is to shy to speak the groups workflow and output improves massively when the team feels comfortable around each other. I've also learned to combine my own personal self agency with this though as working with people you don't know it's always safe to ensure that work gets done by stepping up to check on others as well as completing your own work to build trust between you and your team members. Working in a team of strangers presents a number of potential issues but through the semester I've learned that by building team trust through off topic conversations and taking an active role can greatly improve the work output.   ",1.0,5.0,1.0,100.0
I will be reflecting on my communication skills.,1.0,-1.0,1.0,100.0
I will be reflecting on my own and my group's attitude towards assigned roles and the tasks at hand.,1.0,-1.0,1.0,100.0
I will be reflecting on the topic of brainstorm creative process of a mechanism design ,1.0,15.0,1.0,100.0
I will be reflecting on the topic of the design process phasing and approaches of a mechanism design ,1.0,12.0,1.0,100.0
I will be reflecting on transferable skills such as taking accountability in a team operation and communications structure as our team learned to face challenges and develop these skills.,1.0,-1.0,1.0,100.0
I will be reflecting over Brain storming. Its an activity in which a group of people meet and give and discuss ideas for solving an issue or for development.,1.0,-1.0,1.0,100.0
I will be reflecting over Brain storming. Its an activity in which a group of people meet and give and discuss ideas to for solving an issue or development.,1.0,15.0,1.0,100.0
I will be reflecting over self-marketing and self-promoting skills which are skills that are discussed in the ENGG1050 unit and will be transferable skills for future employment. ,1.0,-1.0,1.0,100.0
"I will be reflecting over teamwork and communication, or interpersonal skills as a whole as it is always something I have felt that I could improve upon that is vital for my future studies and professional career.",1.0,19.0,1.0,100.0
I will be reflecting over the importance of accountability in a team operation.,1.0,-1.0,1.0,100.0
I will be reflecting over the important skill of effective teamwork and communication as part of a team or group. ,1.0,15.0,1.0,100.0
I will be reflecting over the time and resource management skills that I have learned throughout this unit.,1.0,-1.0,1.0,100.0
I will be reflecting over time management and organization skills which are skills that I have utilised in the ENGG1050 unit and will be transferable skills for future employment. ,1.0,11.0,1.0,100.0
"I will be reflecting over time management, productivity, and learning which are both personal and professional skill attributes.",1.0,3.0,1.0,100.0
"I will be reflecting upon the topic-

Interpersonal skills: teamwork and communication

As this unit is focused more on teamwork and communicating with tutors and other team members in order to get the project done .",1.0,-1.0,1.0,100.0
I will be taking this time to reflect on skills and employability skills that I have been using and developing throughout my study of Engg1050 as a first-year student. I will reflect particularly on my interpersonal skill of communications structure.,1.0,-1.0,1.0,100.0
I'm reflecting over the skill of adaptability when applying theoretical ideas in a practical setting.,1.0,-1.0,1.0,100.0
"IDENTIFYING THE ISSUE, PROBLEM, OR PARADOX",1.0,-1.0,1.0,100.0
INITIATIVE AND THE WILLINGNESS TO MAKE DECISIONS IN THE FACE OF UNCERTAINTY.,1.0,5.0,1.0,100.0
INNOVATION PROCESS,1.0,15.0,1.0,100.0
"Identifying the issue, problem, or paradox",3.0,16.0,3.0,33.3
"Identifying the issue, problem, or paradox/Accountability in a team operation",1.0,19.0,1.0,100.0
Implementation management,1.0,-1.0,1.0,100.0
Importance of accountability,23.0,-1.0,8.0,30.4
Importances of diversity,2.0,-1.0,2.0,50.0
Improved personal and professional skills and attributes over the course of the previous weeks.,1.0,-1.0,1.0,100.0
"In the last couple weeks of this unit, my team and I had achieved our goal to turn on a kettle for our RGM project. As of right now we have most of our actions recorded and will soon be editing all of the actions in one whole video. We are also in the stage of finalising our final presentation that will go through all of our processes and explanation of our RGM. Overall I am pleased that my team and I had worked very well to achieve our goals.",1.0,18.0,1.0,100.0
"In the starting weeks of this unit, my team and I had brainstormed a creative process which its end goal is to turn on a kettle. So basically in this RGM, we have 12 actions and each action must last at least for 3 seconds and after the series of actions it will lead to turning on a kettle.",1.0,17.0,1.0,100.0
"Initiative and the willingness to make decisions are transferable skills that I will be reflecting over.

At the start of this unit, I was finding it difficult to take initiative or speak out during our meetings. Everyone was hesitant in speaking up, so the first few weeks it was difficult to communicate with each other. I started contributing a little a bit as time went and slowly everyone else followed. 

The way I improved this skill was to pick a topic or item we were looking at and talk about what I wanted and thought was good for our project. Slowly I realised it was not difficult in talking and now every meeting I do not have any difficulties.",1.0,15.0,1.0,100.0
Initiative and the willingness to make decisions in the face of uncertainty,46.0,-1.0,13.0,26.1
Initiative and the willingness to make decisions in the face of uncertainty.,2.0,17.0,2.0,50.0
Intellectual property and patent law,8.0,5.0,1.0,100.0
Interpersonal Skills: Teamwork and Communication,1.0,18.0,1.0,100.0
Interpersonal skills in particular Written Communication ,1.0,-1.0,1.0,100.0
"Interpersonal skills with relation to teamwork and communication is the area of transferable skills as a topic that I will be reflecting upon. This includes a variety of subset skills such as:

• Building effective teams 

• Accountability and responsibility 

• Visual communications strategy 

• General communications structure and style

• Written communication 

• Ability to manage situations

• Problem solving and resilience 

• Oral presentation 

• The innovation processes 

• Roles and responsibility of engineers",1.0,19.0,1.0,100.0
"Interpersonal skills, teamwork and communication: ORAL PRESENTATION.",1.0,5.0,1.0,100.0
Interpersonal skills: Teamwork and communication.,1.0,-1.0,1.0,100.0
Interpersonal skills: teamwork and communication,154.0,-1.0,17.0,32.5
"LEADERSHIP; I took on the role of the main leader for my group which lead to team management skills, communication skills, conflict management, and decision-making.",1.0,12.0,1.0,100.0
"LEADING ENGINEERING ENDEAVOURS: 

Thinking creatively and communicating possibilities",1.0,15.0,1.0,100.0
Leading engineering endeavours,10.0,-1.0,5.0,60.0
Leading engineering endeavours: Thinking creatively and communicating possibilities,1.0,-1.0,1.0,100.0
Leading engineering endevours / Thinking creatively and communicating possibilities.,1.0,-1.0,1.0,100.0
Learning the skills to effectively communicate and organise a team to complete a series of difficult tasks,1.0,19.0,1.0,100.0
Lifelong learning and educating,10.0,1.0,7.0,20.0
Managing Scheduling/Deadlines,1.0,-1.0,1.0,100.0
Managing Team Conflict,1.0,17.0,1.0,100.0
Managing good TIME AND RESOURCE MANAGEMENT in a team.,1.0,18.0,1.0,100.0
Mission driven leading,4.0,-1.0,3.0,50.0
"My reflection will be based on the ability to take initiative and the will to make decisions in the face of uncertainty; considering the challenge of being able to communicate in an orderly manner and respecting the contribution of others.

ENG1050 was my first encounter with engineering at Macquarie University, as an exchange student I was introduced not only to new academic knowledge but also to a new education system and culture. My initial fears were based on the fact of knowing whether I was going to understand the content of the unit, if my previous education was enough to cover the requirements.
The biggest challenge for me personally was to communicate my thoughts and ideas given the language barrier. Consequently, if I wanted to have an active role in my group and contribute as I was required to do so; I needed to get out my comfort zone and express myself.",1.0,-1.0,1.0,100.0
"Negotiation, compromise and conflict resolution",10.0,22.0,4.0,40.0
"Negotiation, compromise, and conflict resolution",13.0,-1.0,7.0,30.8
Oral Presentation,2.0,5.0,1.0,100.0
Oral Presentation of group C13's work to Posse C,1.0,5.0,1.0,100.0
Oral Presentations,1.0,5.0,1.0,100.0
Oral presentation,78.0,5.0,6.0,83.3
"Perseverance, urgency and will to deliver, resourcefulness and flexibility",80.0,3.0,16.0,25.0
"Perseverance, urgency and will to deliver, resourcefulness and flexibility is the topic I choose to reflect over based on what happened in Week 5's presentation. The rush situation of changing the content of the presentation before showing it to the Posse room A in front of about 100 people. ",1.0,5.0,1.0,100.0
"Perseverance, urgency and will to deliver, resourcefulness and flexibility. ",1.0,18.0,1.0,100.0
"Perseverance, urgency, and will to
deliver, resourcefulness and flexibility",1.0,5.0,1.0,100.0
Personal and professional skills and attributes: CREATIVE THINKING.,1.0,15.0,1.0,100.0
Personal and professional skills and attributes: TIME AND RESOURCE MANAGEMENT,1.0,-1.0,1.0,100.0
"Personal social responsibility is the employability skill topic that I have learn during this unit. Other than teamwork and communication, building our own professional brand and development is the main purpose of ENG1050.",1.0,5.0,1.0,100.0
"Potential tops:

	* Equity and diversity and Inclusion

	* Critical thinking

	* Forming effective teams

	* Thinking creatively and communicating possibilities

Best topic:

I will specifically look into the topic of equity , diversity and inclusion.",1.0,12.0,1.0,100.0
"Potential tops:

	* Equity and diversity and Inclusion

	* Critical thinking

	* Forming effective teams

	* Thinking creatively and communicating possibilities

Best topic:

The topic I will focus on will be FORMING EFFECTIVE TEAMS as I feel that it is a very important point in the workplace.",1.0,19.0,1.0,100.0
Prioritisation and focus,52.0,3.0,8.0,36.5
Prioritization and focus,12.0,3.0,3.0,66.7
Professional behaviour,34.0,-1.0,15.0,23.5
Professional behaviour ,1.0,6.0,1.0,100.0
Professional presentations to an audience. ,1.0,5.0,1.0,100.0
Reflecting on taking initiative and the willingness to make decisions in the face of uncertainty.,1.0,-1.0,1.0,100.0
"Reflection on:

INTERPERSONAL SKILLS: TEAMWORK AND COMMUNICATION ",1.0,19.0,1.0,100.0
Reproducibility,1.0,15.0,1.0,100.0
Roles and responsibility of engineers,36.0,-1.0,12.0,33.3
Roles and responsibility of engineers.,1.0,5.0,1.0,100.0
SELF MANAGEMENT OF TIME AND RESOURCES,1.0,-1.0,1.0,100.0
SKILL/SUBJECT REFLECTED ON: Accountability in a team operation and design brainstorming.,1.0,15.0,1.0,100.0
"SKILL/SUBJECT REFLECTED ON: 

Resource management, understanding needs and setting goals.",1.0,15.0,1.0,100.0
"Self-awareness, metacognition and knowledge integration",1.0,-1.0,1.0,100.0
"Self-awareness, metacognition, and knowledge integration",7.0,1.0,6.0,28.6
Society's regulation of engineering,1.0,7.0,1.0,100.0
Solving Pain Points,31.0,2.0,6.0,45.2
TEAM WORK AND COMMUNICATION. Every employee should be able to work in teams effectively. Forming an effective team where everyone can be counted on can be the difference between failure and success.  ,1.0,5.0,1.0,100.0
THE DESIGN PROCESS PHASING AND APPROACHES,1.0,-1.0,1.0,100.0
THE TRANSFERABLE SKILLS TOPIC I WILL BE REFLECTING OVER IS MY EXPERIENCE WITH LEARNING TO TAKE INITIATIVE WITHIN A TEAM ENVIRONMENT AND DISPLAY LEADERSHIP QUALITIES.,1.0,-1.0,1.0,100.0
TIME AND RESOURCE MANAGEMENT AND UNDERSTANDING NEEDS AND SETTING GOALS.,1.0,3.0,1.0,100.0
"TOPIC FOR REFLECTION

Today the skills/employability topic I will be addressing is team communication. I will describe how team members improved communication by organising meetings and setting up various strategies.",1.0,-1.0,1.0,100.0
TOPIC: Leading engineering endeavours,1.0,8.0,1.0,100.0
TOPIC: Thinking Creatively and Communicating Possibilities / Oral Presentation,1.0,5.0,1.0,100.0
TOPIC: Time and resource management,1.0,-1.0,1.0,100.0
TRANSFERABLE SKILL: How to manage deadlines in a group setting.,1.0,-1.0,1.0,100.0
"TRANSFERABLE SKILL: Working as a team but, specifically, being able to identify and utilise team members' talents and weaknesses as a group leader.",1.0,11.0,1.0,100.0
"TRANSFERABLE SKILLS are vital as they overlap and are essential for success in different industries and occupations as they provide beneficial outcomes for individuals who adopt them. A transferable skill that I have personally had to develop through the second half of the semester is ‘perseverance, urgency and will to deliver, resourcefulness and flexibility’. As a full time student at Macquarie University, part time worker in the workforce, multidisciplinary sportsman, time is often found to be more valuable as balancing so many things along with a social life and trying to excel in all is quite a challenge for some.

During ENGG1050 being able to persevere, have urgency and a will to deliver, while being resourceful and flexible is beneficial as I am part of a team with individuals I have connected with over the last 11 weeks. I have a responsibility in the team to carry my work load and carry out my tasks and assist my teammates to the best of my ability. Being resourceful and flexible has especially been important when constructing my actions for the RGM. As testing was done and issues in some actions reliability became apparent, and adjustments to some actions needed to be made, being resourceful and flexible in a sense to allow for adaptation to the challenge presented was vital to maintain the momentum our team have leading up to the final weeks of the semester.",1.0,-1.0,1.0,100.0
Team leadership,34.0,-1.0,8.0,41.2
"Team member management. 

Managing members of a team who are not meeting expectations and how to work with them to achieve that outcome that best serves everyone.",1.0,21.0,1.0,100.0
Teamwork and communication.,1.0,-1.0,1.0,100.0
"Teamwork that creates attitudes, thought and learning",1.0,-1.0,1.0,100.0
Technological advancements and their implications,9.0,-1.0,4.0,55.6
"Test, verification and validation",1.0,16.0,1.0,100.0
"Test, verification, validation, and certification",2.0,-1.0,2.0,50.0
"The Transferable skills/employability skills I will will be reflecting over are, roles and responsibilities of engineers and creating new solution concepts. ",1.0,16.0,1.0,100.0
The ability to construct an initial design that is reliable and complex through critical thinking and logical analysis,1.0,17.0,1.0,100.0
The ability to think creatively and communicate possibilities will be reflected upon.,1.0,17.0,1.0,100.0
"The creative process I am reflecting is Interpersonal Skills: teamwork and communication, which encompasses working in a team, communicating ideas and working to achieve shared goals. The process of working in a team can be distressing as team members vary in their communication skills so sometimes it is hard to brainstorm ideas, communicate necessary information and assigning roles. Teamwork is all about collaboration, each team member should be able to work efficiently and complete their assigned tasks, whilst keeping active communication with the team. The entire has team be aware of what each team member is doing so for example, if someone is taking the minutes every team member has the responsibility of checking the minutes pdf and making sure everything is appropriate and the document is ready for submission. Moreover, team members must also hold a consistent meetings with each other in order to ensure that progress is being made and the project is actively getting closer to completion, as well as making sure the project is defect free.",1.0,18.0,1.0,100.0
The design process phasing and approaches,19.0,15.0,5.0,36.8
"The goal is to find a design mechanism that is best according to the task. The creative process involves critical thinking and problem-solving skills.

As a Team leader and team worker, all your skills need to be reflected. From what you are confident in and what skills you are stronger in. All of these reflections need to be assessed and collaborated. Brainstorming is a very important skill to have. Brainstorming encourages open and ongoing collaboration to solve problems and generate innovative ideas. Brainstorming helps teams by creating lots of ideas quickly which then can be refined to create the solution to the problem or task.",1.0,-1.0,1.0,100.0
The impact of engineering on society and the environment,20.0,9.0,6.0,50.0
The innovation process,4.0,6.0,1.0,100.0
The innovation processes,25.0,10.0,9.0,28.0
"The main skills that i will be reflecting over are creative thinking, reproducibility and oral presentation.",1.0,-1.0,1.0,100.0
The most prominent transferable skill that has stood out within my group is reflecting over is ACCOUNTABILITY IN A TEAM'S OPERATION.,1.0,-1.0,1.0,100.0
"The skill that I will mainly be reflecting over is, Time and resource management.",1.0,-1.0,1.0,100.0
"The skill that I will mainly be reflecting over is, having accountability in a team operation.",1.0,-1.0,1.0,100.0
The skill topic that I will be reflecting on is creative thinking and resource management.,1.0,-1.0,1.0,100.0
"The skill/attribute that I will be reflecting on is teamwork and communication, and forming an effective team.",1.0,19.0,1.0,100.0
"The skills that I will be referring to in my responses are listed below:

INTERPERSONAL SKILLS: 

	* Teamwork and communication, 
	* Forming effective teams 
	* Accountability in a team operation

COMMUNICATION : 

	* Visual communications strategy  
	* Communications structure",1.0,-1.0,1.0,100.0
"The skills that I will be referring to in my responses are listed below:

Interpersonal skills:

·         teamwork and communication

·         Visual communications strategy

·         Communications structure

·         Written communication

·         Oral presentation",1.0,19.0,1.0,100.0
The topic I have chose to reflect on is critical thinking.,1.0,15.0,1.0,100.0
"The topic I have chosen to reflect on is ""Initiative and the willingness to make decisions in the face of uncertainty"". In the workplace it is critical to have a natural desire to work hard to achieve goals set out. It is very important as it can drive business decisions which can benefit or hurt the task at hand. Currently, I am working with my group B15 coming up with creative ideas for our project. I feel like I have demonstrated an adequate understanding over the transferable skill in general however I feel like I can improve. In situations where we have many ideas presented I should take more initiative and make a team decision. This way I can further develop my professional skills. Reasons for myself wanting to improve this skill is because I have creative ideas but scared it may clash with a colleagues causing workplace dispute.  ",1.0,15.0,1.0,100.0
"The topic I have chosen to reflect on is 'The design process phasing and approaches'. My group B15 has to design an RGM project. This task requires immense amount of communication, teamwork and effort in order to be successful. When in the design and approach phase it is a critical skill to have when apply for jobs especially in the engineering field. I feel comfortable with my design skills as I believe I am very creative when it comes to brainstorming ideas. However, I truly believe that I can improve my way of approach, meaning that rather than throwing out random creative ideas, I should logically plan my responses which ultimately will benefit my group B15.",1.0,17.0,1.0,100.0
The topic I've chosen to reflect on is ‘Innovating an apparatus and implementing new solution concepts',1.0,15.0,1.0,100.0
The topic that I will be reflecting over are visual communications strategies. The use of Miro as a place to present and organise ideas has been a great learning experience and will continue to be in the future. I believe my learning about the usefulness of positioning and structure of presentable information can be credited to this software. It can also elevate me in workspace and allow for easier communication between my colleagues and I.,1.0,15.0,1.0,100.0
"The topics I have chosen to engage with during this reflection have been helpful to develop and communicate with my team members in the previous weeks while effectively improving our RGM components. These concepts and topics like the design process and testing / verification were necessary for good progress development and the use of time or energy management was quite vital in these past couple of weeks as a busy schedule increases towards the end of semester, this lets me not get too exhausted physically and mentally as I complete the tasks.",1.0,17.0,1.0,100.0
"The topics and skills I have engaged with throughout this reflection that I believe were useful in the previous weeks of this course were the use of thinking creatively and communicating possibilities. I also believe that forming effective teams, written communication and oral presentation would be vital skills in this industry as it allows for a very thought out and well-formulated design process to function efficiently.",1.0,15.0,1.0,100.0
"The topics that I will be reflecting on are:

	* Oral Presentation
	* Understanding needs and setting goals
	* Professtional Behaviors 
	* Time and resource management",1.0,17.0,1.0,100.0
The transferable employability/ skill topic that I will be reflecting over is my time and resource management abilities. ,1.0,11.0,1.0,100.0
The transferable skill I have gained from this project is the ability to formally convey activities and ideas and express them in standard written form. This has allowed me to create written communication skills that can be utilised within my employment.,1.0,5.0,1.0,100.0
"The transferable skill I have recognised to be a significant competency and will reflect over is identifying an issue, problem, or paradox in any circumstance. ",1.0,-1.0,1.0,100.0
"The transferable skill I will be focusing on is transparency, accountability and collaboration in a team operation within the context of the Rube Goldberg Machine project.",1.0,-1.0,1.0,100.0
The transferable skill I will reflect on is oral presentation.,1.0,5.0,1.0,100.0
The transferable skill topic I will be reflecting on is forming an effective team.,1.0,-1.0,1.0,100.0
The transferable skill topic I will be reflecting on is the ability to manage schedules between responsibilities.,1.0,3.0,1.0,100.0
The transferable skill which I will be reflecting over is creating new solution concepts,1.0,-1.0,1.0,100.0
The transferable skill/ employability skill that i will be reflecting over is my critical thinking abilities. ,1.0,15.0,1.0,100.0
"The transferable skill/employability skill topic i will be reflecting over is teamwork. I believe teamwork is one of the skills that has been a focus during this unit, as it is looking over how you contribute with a team, communicate, work effectively with new people, how to work together in a online environment and many more. This a skill that can be useful in the future when your working in a big project as an engineer. 

During my time with my team B3 it has been a learning experience for all of us. At the start of course everyone was really nervous as we are meeting new faces and were not sure what they will act, if we will have a good relationship or trust one another. But as we got use to the environment and later get to know each other our relationship became stronger and i started to notice because of that we work really well with one another and we all fair share our work at the task at hand. Working together in a online environment is different compared to working together face to face but this puts us to the test to see our strengths and weakness and to improve on them since in the future you may never know that one day you will be needing to work on a project at home together as team. I learned that developing this skill will be useful as it will make me prepared on working together with other people in the future and make me more aware of situations to deal with. ",1.0,17.0,1.0,100.0
